security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange,upper_limit,lower_limit,expiry_date,strike_price,freeze_quantity
65539,NIFTY-Dec2023-20250-CE,NIFTY 28 DEC 20250 CALL,,5,50,OPTIDX,D,NSE,1522.45,476.05,28-12-2023 14:00,20250,1801
65542,NIFTY-Dec2023-20250-PE,NIFTY 28 DEC 20250 PUT,,5,50,OPTIDX,D,NSE,19.65,0.05,28-12-2023 14:00,20250,1801
65543,NIFTY-Dec2023-20300-CE,NIFTY 28 DEC 20300 CALL,,5,50,OPTIDX,D,NSE,1447.35,407.35,28-12-2023 14:00,20300,1801
65544,NIFTY-Dec2023-20300-PE,NIFTY 28 DEC 20300 PUT,,5,50,OPTIDX,D,NSE,23.55,0.05,28-12-2023 14:00,20300,1801
65545,NIFTY-Dec2023-20350-CE,NIFTY 28 DEC 20350 CALL,,5,50,OPTIDX,D,NSE,1387.05,354.95,28-12-2023 14:00,20350,1801
65546,NIFTY-Dec2023-20350-PE,NIFTY 28 DEC 20350 PUT,,5,50,OPTIDX,D,NSE,28.55,0.05,28-12-2023 14:00,20350,1801
65547,NIFTY-Dec2023-20400-CE,NIFTY 28 DEC 20400 CALL,,5,50,OPTIDX,D,NSE,1342.45,320.05,28-12-2023 14:00,20400,1801
65558,NIFTY-Dec2023-20400-PE,NIFTY 28 DEC 20400 PUT,,5,50,OPTIDX,D,NSE,34.95,0.05,28-12-2023 14:00,20400,1801
65559,NIFTY-Dec2023-20450-CE,NIFTY 28 DEC 20450 CALL,,5,50,OPTIDX,D,NSE,1256.2,245.7,28-12-2023 14:00,20450,1801
65560,NIFTY-Dec2023-20450-PE,NIFTY 28 DEC 20450 PUT,,5,50,OPTIDX,D,NSE,42.05,0.05,28-12-2023 14:00,20450,1801
65561,NIFTY-Dec2023-20500-CE,NIFTY 28 DEC 20500 CALL,,5,50,OPTIDX,D,NSE,1239.35,242.85,28-12-2023 14:00,20500,1801
65562,NIFTY-Dec2023-20500-PE,NIFTY 28 DEC 20500 PUT,,5,50,OPTIDX,D,NSE,50.9,0.05,28-12-2023 14:00,20500,1801
65563,NIFTY-Dec2023-20550-CE,NIFTY 28 DEC 20550 CALL,,5,50,OPTIDX,D,NSE,1169.45,189.45,28-12-2023 14:00,20550,1801
65564,NIFTY-Dec2023-20550-PE,NIFTY 28 DEC 20550 PUT,,5,50,OPTIDX,D,NSE,61.35,0.05,28-12-2023 14:00,20550,1801
65565,NIFTY-Dec2023-20600-CE,NIFTY 28 DEC 20600 CALL,,5,50,OPTIDX,D,NSE,1117,156.3,28-12-2023 14:00,20600,1801
65566,NIFTY-Dec2023-20600-PE,NIFTY 28 DEC 20600 PUT,,5,50,OPTIDX,D,NSE,73.45,0.05,28-12-2023 14:00,20600,1801
65567,NIFTY-Dec2023-20650-CE,NIFTY 28 DEC 20650 CALL,,5,50,OPTIDX,D,NSE,1061.55,122.95,28-12-2023 14:00,20650,1801
65576,NIFTY-Dec2023-20650-PE,NIFTY 28 DEC 20650 PUT,,5,50,OPTIDX,D,NSE,88.15,0.05,28-12-2023 14:00,20650,1801
65577,NIFTY-Dec2023-20700-CE,NIFTY 28 DEC 20700 CALL,,5,50,OPTIDX,D,NSE,999.3,85.9,28-12-2023 14:00,20700,1801
65578,NIFTY-Dec2023-20700-PE,NIFTY 28 DEC 20700 PUT,,5,50,OPTIDX,D,NSE,105.1,0.05,28-12-2023 14:00,20700,1801
65582,NIFTY-Dec2023-20750-CE,NIFTY 28 DEC 20750 CALL,,5,50,OPTIDX,D,NSE,946.15,60.95,28-12-2023 14:00,20750,1801
65583,NIFTY-Dec2023-20750-PE,NIFTY 28 DEC 20750 PUT,,5,50,OPTIDX,D,NSE,122.55,0.05,28-12-2023 14:00,20750,1801
65586,NIFTY-Dec2023-20800-CE,NIFTY 28 DEC 20800 CALL,,5,50,OPTIDX,D,NSE,881.45,27.35,28-12-2023 14:00,20800,1801
65587,NIFTY-Dec2023-20800-PE,NIFTY 28 DEC 20800 PUT,,5,50,OPTIDX,D,NSE,144.55,0.05,28-12-2023 14:00,20800,1801
